Species,mean
Oedipina grandis,3.202584233
Oedipina maritima,3.079663879
Oedipina nica,2.31994983
Oedipina parvipes,5.168680279
Oedipina poelzi,4.543641396
Oedipina pseudouniformis,3.224466746
Oedipina savagei,4.005914295
Oedipina taylori,3.110410065
Oedipina tomasi,2.756662818
Oedipina uniformis,2.101515525
Parvimolge townsendi,3.435296066
Phaeognathus hubrichti,10.11804109
Plethodon albagula,13.73940678
Plethodon amplus,16.00130701
Plethodon angusticlavius,6.302811052
Plethodon asupak,11.15212518
Plethodon aureolus,13.77072678
Plethodon caddoensis,10.36693643
Plethodon chattahoochee,17.65061109
Plethodon chlorobryonis,13.15825534
Plethodon cinereus,6.67997841
Plethodon cylindraceus,15.01263617
Plethodon dorsalis,7.289956819
Plethodon dunni,13.9171381
Plethodon electromorphus,7.097102555
Plethodon elongatus,9.691326986
Plethodon fourchensis,14.82692517
Plethodon glutinosus,16.36604866
Plethodon grobmani,12.972867
Plethodon hoffmani,7.351406646
Plethodon hubrichti,9.356651585
Plethodon idahoensis,11.06340727
Plethodon jordani,10.55924096
Plethodon kentucki,13.8285613
Plethodon kiamichi,13.73774301
Plethodon kisatchie,13.09393301
Plethodon larselli,9.813786564
Plethodon meridianus,15.48763887
Plethodon metcalfi,13.07455929
Plethodon mississippi,13.76067095
Plethodon montanus,12.75131369
Plethodon neomexicanus,9.015467487
Plethodon nettingi,8.868910217
Plethodon ocmulgee,12.47679623
Plethodon ouachitae,13.84388962
Plethodon petraeus,19.55433572
Plethodon punctatus,14.5858165
Plethodon richmondi,7.185345458
Plethodon savannah,14.21163362
Plethodon sequoyah,13.08922703
Plethodon serratus,5.798087174
Plethodon shenandoah,9.128549668
Plethodon shermani,13.4814576
Plethodon stormi,10.38190369
Plethodon teyahalee,14.16971011
Plethodon vandykei,10.61404253
Plethodon variolatus,12.437651
Plethodon vehiculum,10.88705862
Plethodon ventralis,5.429036391
Plethodon virginia,9.355555543
Plethodon websteri,6.348411756
Plethodon wehrlei,14.54918822
Plethodon welleri,7.772772087
Plethodon yonahlossee,19.67076577
Pseudoeurycea altamontana,8.358582009
Pseudoeurycea aurantia,10.80748307
Pseudoeurycea cochranae,11.14025231
Pseudoeurycea firscheini,8.576677848
Pseudoeurycea gadovii,13.08057834
Pseudoeurycea juarezi,11.77741276
Pseudoeurycea leprosa,9.90575339
Pseudoeurycea lineolus,2.12271043
Pseudoeurycea longicauda,9.935957004
Pseudoeurycea melanomolga,14.78746455
Pseudoeurycea mixcoatl,11.04770411
Pseudoeurycea obesa,5.366715619
Pseudoeurycea orchileucos,1.803238549
Pseudoeurycea orchimelas,1.676986221
Pseudoeurycea papenfussi,14.59861519
Pseudoeurycea rex,9.976480655
Pseudoeurycea robertsi,11.35273726
Pseudoeurycea ruficauda,5.083492144
Pseudoeurycea saltator,10.56881803
Pseudoeurycea smithi,11.58232326
Pseudoeurycea tenchalli,6.334728942
Pseudoeurycea unguidentis,13.83793952
Pseudoeurycea werleri,9.467238185
Pseudotriton montanus,12.7599286
Pseudotriton ruber,12.75438534
Stereochilus marginatus,7.003941881
Thorius arboreus,2.016702625
Thorius aureus,3.000157931
Thorius boreas,3.144486672
Thorius dubitus,2.66906345
Thorius grandis,3.186863643
Thorius lunaris,2.997198604
Thorius macdougalli,2.373496028
Thorius magnipes,3.444009444
Thorius maxillabrochus,2.798866013
Thorius minutissimus,2.782999045
Thorius minydemus,2.162305292
Thorius munificus,2.569316454
Thorius narisovalis,3.133834442
Thorius omiltemi,2.606132834
Thorius papaloae,2.539215753
Thorius pennatulus,2.002577905
Thorius pulmonaris,2.830957305
Thorius schmidti,2.747041848
Thorius spilogaster,2.463885411
Thorius troglodytes,2.765282773
Urspelerpes brucei,3.709528146
